"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"471f7f","WZZ10AP ","Hungary","1648462291","1648462291","30.7969","37.135","11582.4","False","220.72","0.8","0","","11765.28","7221","False","0","1"
"471f46","WZZ2981 ","Hungary","1648462311","1648462312","25.8267","44.4017","10668","False","231.44","125.77","0","","10774.68","7131","False","0","0"
"471f45","WZZ2892 ","Hungary","1648462311","1648462311","31.528","42.1047","10980.42","False","212.59","280.74","-0.33","","11087.1","","False","0","0"
"471f33","WZZ2420 ","Hungary","1648462311","1648462311","33.2063","35.0246","4541.52","False","176.35","288.01","12.68","","4732.02","5570","False","0","0"
"471f39","WZZ8288 ","Hungary","1648462311","1648462311","27.5558","35.6234","10965.18","False","194.67","304.99","0","","11193.78","","False","0","0"
"c01049","ACA59   ","Canada","1648462311","1648462311","27.4284","35.0423","10965.18","False","226.4","330.76","-0.33","","11186.16","","False","0","6"
"4bae41","TCKRA   ","Turkey","1648462311","1648462311","29.0954","40.4947","2926.08","False","147.96","121.2","0","","3093.72","","False","0","0"
"728674","IAW223  ","Iraq","1648462311","1648462311","30.2592","41.0462","6629.4","False","170.69","299.42","-5.2","","6819.9","7466","False","0","1"
"4bc848","PGT40L  ","Turkey","1648462311","1648462311","29.0699","40.8114","2004.06","False","137.84","244.58","0.65","","2171.7","","False","0","0"
"7103d7","SVA179  ","Saudi Arabia","1648462264","1648462264","26.8512","35.8607","11582.4","False","236.25","331.09","0","","11788.14","","False","0","6"
"73806c","ELY386  ","Israel","1648462311","1648462311","25.6944","36.7578","11277.6","False","243.06","118.3","0","","11445.24","1236","False","0","1"
"44004f","AUA857L ","Austria","1648462311","1648462311","26.8269","39.822","11285.22","False","242.65","135.6","0","","11422.38","7106","False","0","1"
"738053","ELY2366 ","Israel","1648462311","1648462312","27.3015","39.4498","10668","False","244.11","129.53","0","","10835.64","6056","False","0","1"
"45a94a","SUS991  ","Denmark","1648462311","1648462311","30.35","36.6089","13716","False","258.7","145.61","0","","13822.68","0067","True","0","1"
"896116","UAE92UX ","United Arab Emirates","1648462311","1648462311","26.5724","42.9518","10972.8","False","237.93","280.34","0","","11079.48","2341","False","0","1"
"896189","UAE62T  ","United Arab Emirates","1648462311","1648462311","28.682","42.9781","11582.4","False","230.74","300.11","0","","11658.6","3274","False","0","6"
"4bb1e4","THY5UZ  ","Turkey","1648462310","1648462310","28.7681","41.0064","1097.28","False","97.71","346.91","0","","1264.92","","False","0","1"
"4007f4","BAW108  ","United Kingdom","1648462311","1648462311","26.5421","44.044","10972.8","False","235.25","301.95","0","","11079.48","3227","False","0","1"
"5000d4","","San Marino","1648462292","1648462292","31.612","42.0196","12192","False","203.86","289.3","0.98","","12230.1","","False","0","0"
"4baad5","THY3GY  ","Turkey","1648462311","1648462311","29.8462","40.8686","4671.06","False","149.83","267.64","-8.13","","4861.56","5076","False","0","4"
"4baacd","THY82UJ ","Turkey","1648462309","1648462310","30.0554","40.6444","11056.62","False","232.53","83.39","4.88","","11178.54","","False","0","1"
"7105ab","SVA127  ","Saudi Arabia","1648462258","1648462258","25.8065","35.0747","10965.18","False","233.48","321.26","0.33","","11201.4","","False","0","0"
"896216","UAE9501 ","United Arab Emirates","1648462312","1648462312","33.0264","40.4106","11582.4","False","232.76","281.09","0","","11666.22","6220","False","0","1"
"7380c0","ELY026  ","Israel","1648462311","1648462311","27.3219","35.837","11277.6","False","256.81","115.38","-0.33","","11490.96","5236","False","0","6"
"4ca9ec","RYR66YT ","Ireland","1648462311","1648462311","28.4616","36.9915","12496.8","False","238.6","139.37","0","","12656.82","0456","False","0","1"
"896272","DUB4    ","United Arab Emirates","1648462311","1648462311","28.9707","42.9414","10972.8","False","243.4","305.54","0","","11064.24","5336","False","0","1"
"4bab4f","THY2MZ  ","Turkey","1648462288","1648462297","31.5901","40.5522","10698.48","False","226.69","93.12","6.83","","10820.4","","False","0","0"
"4bb266","THY9XY  ","Turkey","1648462297","1648462302","33.0661","40.5605","9136.38","False","213.32","280.28","0.33","","9288.78","1304","False","0","0"
"4bb263","THY1KU  ","Turkey","1648462311","1648462311","27.2288","42.0551","7696.2","False","229.13","293","6.5","","7894.32","1336","False","0","0"
